nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.708173	0.881622	126.65741	9.106991	0.000776	0.610938	0.579294	205.0	0.657043	-1.701712	4.967341	0.132272	8.064978e-005	0.008936	331.847362	3.48586	29.925251	331.86567	0.010504	8.120606	0.085302	8.121054	6.622566e-005	470.316263	0.238792	
5.71817	0.938426	126.674958	9.103555	0.000766	0.610979	0.579294	205.0	0.656567	-1.729106	4.967349	0.132176	8.059139e-005	0.008936	298.115621	3.268024	24.112257	298.133533	0.010962	8.126095	0.08908	8.126583	6.915899e-005	583.558183	0.296315	
5.728166	0.853506	126.704954	9.164989	0.000781	0.611053	0.579294	205.0	0.65555	-1.641354	4.967337	0.131972	8.046658e-005	0.008936	357.468506	3.418778	34.715385	357.484854	0.009564	8.138393	0.077834	8.138766	6.042798e-005	407.091158	0.20668	
5.738163	0.921672	126.739073	9.173914	0.000769	0.611134	0.579294	205.0	0.655747	-1.696056	4.967347	0.132012	8.049075e-005	0.008936	310.489179	3.243788	26.223026	310.506123	0.010447	8.135873	0.084998	8.136317	6.598974e-005	539.268824	0.273816	
5.74816	0.79951	126.779383	9.259432	0.00079	0.611232	0.579294	205.0	0.654665	-1.605378	4.96733	0.131794	8.035797e-005	0.008936	427.611284	3.849805	49.878044	427.628614	0.009003	8.148967	0.073366	8.149297	5.695848e-005	285.230955	0.144798	
5.758157	0.77726	126.816792	9.305092	0.000794	0.611323	0.579294	205.0	0.654031	-1.622256	4.967327	0.131667	8.028008e-005	0.008936	472.29043	4.389618	60.929579	472.310829	0.009294	8.156407	0.075808	8.15676	5.885492e-005	234.244508	0.118909	
5.768154	0.818744	126.851545	9.324521	0.000787	0.611406	0.579294	205.0	0.65382	-1.572946	4.967333	0.131624	8.025422e-005	0.008936	408.797632	3.474239	45.680507	408.812395	0.008499	8.1591	0.069342	8.159395	5.38344e-005	312.865487	0.15883	
5.77815	0.813605	126.8792	9.354102	0.000788	0.611473	0.579294	205.0	0.653997	-1.625461	4.967332	0.13166	8.027592e-005	0.008936	419.449687	3.920719	48.21876	419.46801	0.009347	8.156807	0.076244	8.157163	5.919326e-005	297.009586	0.150778	
5.788147	0.829133	126.897234	9.366422	0.000785	0.611516	0.579294	205.0	0.653806	-1.570137	4.967334	0.131621	8.025253e-005	0.008936	400.629347	3.386672	43.999963	400.643661	0.008453	8.159277	0.068973	8.159568	5.354863e-005	325.767453	0.165381	
5.798144	0.981286	126.909086	9.322022	0.000759	0.611544	0.579294	205.0	0.653768	-1.611986	4.967355	0.131613	8.024788e-005	0.008936	287.329688	2.624575	22.560386	287.341674	0.009134	8.159601	0.074533	8.159942	5.786471e-005	633.383518	0.321628	
